Sentiment,Tweets
[0],['Hey Check out ShopBack where you can earn Cashback as you shop online Sign up via my link and get a P welco… ']
[4],['Blackstar HDIVE OD PUE VALVE OVEDIVE\n\n']
[0],['  Just a few sprays and your footwear smells clean\n\nBuy this product on amazon \n\nHomecare airfresh…']
[0],['  eply a screenshot of you streaming or watching Katy Perry’s NeverWornWhite in Spotify Apple Music Amazon Music idal…']
[0],['  ShamelessSelfpromoSaturday\nDrop your links amp \nUnique theme Storys set  years in the future after an Ice Age wipes…']
[0],[' I just remembered you can leave reviews on Amazon\n\n😎😎😎']
[0],['  As King Henry VI slips into insanity a child is married to the mad kings brother \n\n\n\nudor …']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[0],['Great escapism ead FEE w KindleUnlimited KILL AND UN steps up several levels into an exciting category all i… ']
[0],['Amazon pay for any new affiliate register at  March   at AM']
[0],['Last years Amazon fires were devastating But how do their numbers compare to the  yearly average \nBrazil… ']
[4],['  three stories tall thank u  for all the love 🥰\n\n ']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[0],['Its the last day to download he Sahniir the second book of my adult fantasy trilogy for free on Kindle amp Kindl… ']
[4],['  Hi all it is that time when I go away for the weekend I hope you all have a safe and wonderful weekend hank you for al…']
[0],['  What happened after the omans abandoned their province of Britannia Some call it our first Brexit the adventure sta…']
[0],['  Lost secrets amp untold lore come to light while sinister forces attempt to steal much coveted magic in this unputdownable …']
[0],['As always the main characters fizz and entrance with underdogs and divas harassed hunks and devilishly attractiv… ']
[0],['HE NEW SAM DAGGE   by \n\nOn her fathers death Sadie is freed from the clutches of gang member Loui… ']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[4],[' Heres your cloud If youre looking for gift ideas Cloud Bot recommends this  ']
[0],['eader eady Award Honorable Mention\n\nhe Man Who Loves Watches is available at  \n\n award… ']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[0],['  errorist Pentagon mole targets Navy nukes for theft ead SNOWFLAKES IN JULY  thriller ASMSG …']
[0],['Crayola Baby Shark Coloring Pages amp Stickers   at Amazon ']
[0],['Amazon says it has removed  offers from the marketplace for coronavirusbased price gouging and suspended mo… ']
[0],['Always like seeing another satisfied customer who doesn’t readingcommunity WritingCommunity blackwoodnovel is… ']
[4],['Huge ide Pod Sale\n\nGet an  Count of ide Pods for \n\nClip the coupon\n\nOriginal\n\nSpring Meadow… ']
[4],['wist urns Secrets Lies booklovers books romance omance coffeetime fantasy weekendread bookbloggers… ']
[2],['heAgapeMusicGroup\u200b featured in \u200bMusicLovrz\u200b \u200bWW\u200b Magazine March \u200bDebutSingle\u200b \u200bheWait\u200b \u200b… ']
[4],['  my cat got surgery and she kept tearing off her surgical cone so we got her a cone from amazon that’s a piece of bread h…']
[0],['finding the Asian versions of Amazon was the best thing to happen to me']
[4],['  Book Lovers Print for eaders Silicone Drink Beverage Coaster  Pack by LE Prints\n٩˘◡˘۶\n ']
[0],['  Oh for fucks sake\n\nAlcohol prep wipes for injections are all sold out on Amazon Because people are fucking hoarding an…']
[4],['  eceiving a book review is always a highlight\nWhat will it say\nA favourable assessment of a project which likely cons…']
[0],['GeraldHarris\u200b \u200b Featured in \u200bMusicLovrz\u200b April  Front Cover \u200bNewAlbum\u200b coming soon \u200b… ']
[0],['Amazon says it has pulled more than  million products for price gouging or falsely advertising effectiveness again… ']
[0],['Huge ide Pod Sale\n\nGet an  Count of ide Pods for \n\nClip the coupon\n\nOriginal… ']
[0],['Save  on st MEL Chemistry box science subscription for kids givemecheapstuff deals  ']
[4],['  Aussie leads AVN rangers to rescue besieged Seabees in the Vietnam War\nead ASPHAL amp BLOOD ']
