Sentiment,Tweets
[1],['  ForeverWithAsim\n\nIndeed Asim has Won Million Of Hearts lt\nProud Asims Fangirl\nAllah Bless You iaz Family\n']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  BiggBoss excontestant Asim iaz finally comes across  post that made the st runnerup speechless He then exp…']
[1],['  LOL😂\n\nAsim iaz  and Umar iaz doing the Garmi hook step as Himanshi Khurana cheers will make you miss B…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  Hina Khan and Asim iaz are lovee Both of them stand strong for right for their friends and are strong headed beautiful…']
[0],['  KaranJohar denies rumours of making StudentoftheYear with BiggBoss runner up Asimiaz amp SuhanaKhan ']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  Exclusive amp Confirmed\n\nBigg Boss  unnerUp Asim iaz o Debut Opposite\nShahukh Khan’s Daughter Suhana Khan In Stude…']
[1],['  ForeverWithAsim\n\nIndeed Asim has Won Million Of Hearts lt\nProud Asims Fangirl\nAllah Bless You iaz Family\n']
[1],['  KaranJohar denies launching SuhanaKhan and Asimiaz in SOY  Absolutely baseless stories\n']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  ListenBack ‼️\n\nBiggBoss finalist  exclusive chat with me\n\n💥 His experience on the show \n💥 His love Himansh…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['   puts an end to all the ‘Student Of he Year ’ rumours with his reply\n\nKaranJohar \n\nFor the latest Entertainment…']
[1],['  BiggBoss HimanshiKhurana says she felt ‘shy’ when Asimiaz held her hand introduced her to his family\n\n']
[1],['  ListenBack ‼️\n\nBiggBoss finalist  exclusive chat with me\n\n💥 His experience on the show \n💥 His love Himansh…']
[1],['  I supported u so much Asim iaz day nd night\nWhat I wanted in return\nJust this that you have pink blood instead of red…']
[1],['  Listen back \n\nMy exclusive interview with BiggBoss finalist amp our winner  on my show today \n\nClick here h…']
[0],['  Exclusive  Bigg Boss s Asim iaz on John Cenas support Its a big achievement the hard work Ive put in the last  years…']
[0],['  Karan johar is replying about rumors related to asim riaz hats what asim riaz craze is on SM 🔥Everybody knows its a ru…']
[0],['  See the difference in views on Instagram Live Chat of two favourites of BB\nhe craze for Asim iaz is just phenomenal…']
[1],['  Exclusive amp Confirmed\n\nBigg Boss  unnerUp Asim iaz o Debut Opposite\nShahukh Khan’s Daughter Suhana Khan In Stude…']
[1],['  VIDEO HimanshiKhurana can’t stop laughing as her fellow BiggBoss contestants ashamiDesai and Asimiaz do the ‘Gar…']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[0],['  BEAKING NEWSAs per source\n\nSalman Khan was not happy with BB makers for placing Asim iaz in the top  \n\nHe…']
[1],['  BiggBoss finalist Asimiaz video calls rapper Bohemia thanks JohnCena on Instagram – Watch\n\n']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[1],['  ForeverWithAsim\n\nIndeed Asim has Won Million Of Hearts lt\nProud Asims Fangirl\nAllah Bless You iaz Family\n']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  LOL😂\n\nAsim iaz  and Umar iaz doing the Garmi hook step as Himanshi Khurana cheers will make you miss B…']
[1],['  BiggBoss finalist Asimiaz video calls rapper Bohemia thanks JohnCena on Instagram – Watch\n\n']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[1],['VIDEO HimanshiKhurana can’t stop laughing as her fellow BiggBoss contestants ashamiDesai and Asimiaz do th… ']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[0],['  See the difference in views on Instagram Live Chat of two favourites of BB\nhe craze for Asim iaz is just phenomenal\n']
[0],['  Bully boy Sidharth Shukla deserves an Oscar for overacting he way he faked nervousness as if he didn’t know that he i…']
[1],['  BiggBoss excontestant Asim iaz finally comes across  post that made the st runnerup speechless He then exp…']
[0],['  BiggBoss Finalist Asimiaz Shares Post For JohnCena After eceiving Support From Him\n ']
[0],['  BEAKING NEWSAs per source\n\nSalman Khan was not happy with BB makers for placing Asim iaz in the top  \n\nHe…']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[0],['  Bigg Boss  Asim iaz thanks John Cena for the support says he was left SPEECHLESS \n Asimiaz BiggBoss JohnCena…']
[1],['  ForeverWithAsim\n\nIndeed Asim has Won Million Of Hearts lt\nProud Asims Fangirl\nAllah Bless You iaz Family\n']
[0],['  Asimiaz and HimanshiKhurana’s love for each other inside the house is seen growing as the couple can be seen together spen…']
[0],['  Bigg Boss  Asim iaz thanks John Cena for the support says he was left SPEECHLESS \n Asimiaz BiggBoss JohnCena…']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[1],['  Himanshi Khurana says it doesn’t matter who won the BiggBoss trophy because Asim iaz has won a lot of hearts and that peo…']
[1],['  Hina Khan and Asim iaz are lovee Both of them stand strong for right for their friends and are strong headed beautiful…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[0],['  Karan johar is replying about rumors related to asim riaz hats what asim riaz craze is on SM 🔥Everybody knows its a ru…']
[0],['  Damage has been done World has seen how the public was fooled he least  amp  Producers can do is to issue…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  Himanshi Khurana says it doesn’t matter who won the BiggBoss trophy because Asim iaz has won a lot of hearts and that peo…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['   puts an end to all the ‘Student Of he Year ’ rumours with his reply\n\nKaranJohar \n\nFor the latest Entertainment…']
[1],['  BiggBoss HimanshiKhurana says she felt ‘shy’ when Asimiaz held her hand introduced her to his family\n\n']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[0],['  Asim iaz deserves the whole world  \nForeverWithAsim']
[1],['  LOL😂\n\nAsim iaz  and Umar iaz doing the Garmi hook step as Himanshi Khurana cheers will make you miss B…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  Exclusive amp Confirmed\n\nBigg Boss  unnerUp Asim iaz o Debut Opposite\nShahukh Khan’s Daughter Suhana Khan In Stude…']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[1],['  I supported u so much Asim iaz day nd night\nWhat I wanted in return\nJust this that you have pink blood instead of red…']
[1],['  Exclusive amp Confirmed\n\nBigg Boss  unnerUp Asim iaz o Debut Opposite\nShahukh Khan’s Daughter Suhana Khan In Stude…']
[1],['  Are you ready for this collab\n\n']
[1],['  ForeverWithAsim\n\nIndeed Asim has Won Million Of Hearts lt\nProud Asims Fangirl\nAllah Bless You iaz Family\n']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[1],['  Himanshi Khurana says it doesn’t matter who won the BiggBoss trophy because Asim iaz has won a lot of hearts and that peo…']
[0],[' Dont feel bad sir I know u all ex contestant r very jealous of asim becz tere to asim ke compare… ']
[1],['  Bigg Boss  runnerup Asim iaz to debut opposite Shah ukh Khan’s daughter Suhana Khan in Student of the Year …']
[1],['   puts an end to all the ‘Student Of he Year ’ rumours with his reply\n\nKaranJohar \n\nFor the latest Entertainment…']
[1],['  Are you ready for this collab\n\n']
[1],['   puts an end to all the ‘Student Of he Year ’ rumours with his reply\n\nKaranJohar \n\nFor the latest Entertainment…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[0],['  BEAKING NEWSAs per source\nSalman Khan was not happy with BB makers for placing Asim iaz in the top  \n\nHe was ve…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  Exclusive amp Confirmed\n\nBigg Boss  unnerUp Asim iaz o Debut Opposite\nShahukh Khan’s Daughter Suhana Khan In Stude…']
[0],['  See the difference in views on Instagram Live Chat of two favourites of BB\nhe craze for Asim iaz is just phenomenal\n']
[0],['  KaranJohar denies rumours of making StudentoftheYear with BiggBoss runner up Asimiaz amp SuhanaKhan ']
[1],['   puts an end to all the ‘Student Of he Year ’ rumours with his reply\n\nKaranJohar \n\nFor the latest Entertainment…']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
[1],['  Hina Khan and Asim iaz are lovee Both of them stand strong for right for their friends and are strong headed beautiful…']
[1],['  Damn \n\nAsim iaz                  Bhalu s \nHotel room gtgtgtgtgtgt   Victory\nFun\nForeverWithAsim \nAsimiaz']
[1],['  It took Sidharth Shukla a decade to to make it to M followers\n and it took Asim iaz only  months to make to M followers…']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[1],['  Hina Khan and Asim iaz are lovee Both of them stand strong for right for their friends and are strong headed beautiful…']
[1],['  Karan Johar slams baseless rumours on Student Of he Year  after reports of Asim iaz  Suhana Khans casting goes vir…']
[0],['  Bigg Boss  Fan requests Asim iazs dad to accept ashami Desai as bahu for elder son Umar fans create Umash…']
