Sentiment,Tweets
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp C…']
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Chil…']
[0],['  ▪️Demonetization\n▪️After NC in Assam\n▪️GS\n▪️KYC\n▪️Aadhar Updation\n▪️PNB Bank Scam\n▪️Jandhan Bank Ac\n▪️PMC Bank\n▪️Pollu…']
[0],['       By the same measure you s… ']
[0],[' hey beloong to same family and his brother daughter was in BJP and now question BJP ']
[0],['  Passage of the Womens eservation Bill was one of the poll promises of the BJP It has already been passed in S It…']
[0],[' he issue is that the statue is removed by Karnatakas BJP government \nNo matter what is the reas… ']
[4],['  It was wonderful as arun hakur dada visited my home in Burnpur Asansol He is currently the Shakti Kendra Pramukh but t…']
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Chi…']
[0],['  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence As one Western diplomat said to me…']
[0],['If Karnataka is the yardstick we are likely witnessing the beginning of the end of the KamalNathled Congress g… ']
[0],['  In a move to publicly name and shame participants of the anti CAA protests in Lucknow – and jeopardise their lives at th…']
[0],['  Beti Bachao Beti Padhao was merely a slogan to grab votes but when it came to implementation BJP failed miserably BJP ruled…']
[0],['  ▪️Demonetization\n▪️After NC in Assam\n▪️GS\n▪️KYC\n▪️Aadhar Updation\n▪️PNB Bank Scam\n▪️Jandhan Bank Ac\n▪️PMC Bank\n▪️Pollu…']
[0],['  SC stays bail of people who incited no violence have no criminal record HC had called investigation against them mala fid…']
[0],[' Carry on censoring hese days it is a an open society witter  Hide all you want bjp you murderers and rapsists']
[2],['  LIVE BJP National President Shri  address on Jan Aushadhi Diwas celebrations in Delhi JanJanakJanAushadhi http…']
[0],['  he Financial land mines placed by P Chidambaram and the Congress party has started to explode whenever BJP trying to step on…']
[0],['  Passage of the Womens eservation Bill was one of the poll promises of the BJP It has already been passed in S It…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  Any news media outlet that’s showing onesided violence in Delhi communal riots in which both Muslims amp Hindus were killed…']
[0],['  BJP  Bhartiya Jumla Party\n\nLets get innovative Add to the list']
[0],['  ▪️Demonetization\n▪️After NC in Assam\n▪️GS\n▪️KYC\n▪️Aadhar Updation\n▪️PNB Bank Scam\n▪️Jandhan Bank Ac\n▪️PMC Bank\n▪️Pollu…']
[0],['  With great power comes great responsibility Learn it from this elephant while he is being chased by a kid water buffalo…']
[4],['Pic  Congress way to Woman empowerment\n\nPic  BJP way to Woman empowerment \nWomanKiBaat  ']
[0],['  See his Video\n\nBhawani Singh ajawat BJP MLA from ajasthan’s Kota in the conversation says “Adani Ambani and others…']
[4],[' Chanels which have been surviving only on fake news or fabricating propaganda in favour of BJP NaMo']
[0],['  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence As one Western diplomat said to me…']
[4],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Ch…']
[0],['  Gujarat special judge KM Dave who was hearing Naroda Gam massacre case of  post Godhra riots transferred at the fag end…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[2],['  AnnieBeasant first woman president of Congress\n\nHow many women presidents did BJP have since inception\n\nWomanKiBaat']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  Mr rajnath singh you leaders of bjp are killers of  innocent muslims of delhi you are curse on humanity so shame on b…']
[0],['  What the great genius NirmalaSitharaman does not tell you is that Jet Airways Vodafone Airel ILFS PMC YesBank all P…']
[0],['  BJP failed to protect women in India\n\nWomanKiBaat ']
[0],[' Kab tak rahegi aapki Sarkar BJP is behind you']
[4],['  Mr rajnaath singh you cant prepare better for the people you bjp leaders are  blind bhagts killers you want to kill all…']
[0],['  Gujarat special judge KM Dave who was hearing Naroda Gam massacre case of  post Godhra riots transferred at the fag end…']
[0],['  If you aren’t actively trying to fight the BJP out of power every day what are you even doing with your life']
[0],['  BJP  Bhartiya Jumla Party\n\nLets get innovative Add to the list']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  Passage of the Womens eservation Bill was one of the poll promises of the BJP It has already been passed in S It is…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['    Srivats its all good to highlight all this What is the INC strategy to convert this into anti BJP…']
[2],['  eport A nonbailable warrant has been issued by a ampur court against veteran actor and BJP leader Jaya Prada in a violati…']
[0],['  Syed waqar haider i think you are dalaaaal of rss bjp you are curse on muslims shut up']
[0],['  If Andhra BJP can’t hit streets now I don’t know when\n\nAccept that you have let a covert come in without proper backgrou…']
[0],['       It sure can it can preclu… ']
[0],['  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence As one Western diplomat said to me…']
[0],['  In Assam Hindu Bangladeshi efugees with\n\n Names in  voter list\n Names already included in NC\n\nare being serve…']
[0],['  WomanKiBaat\n\nCrimes against women have increased under BJP by leaps and bounds \n\nBJP has failed India’s Women will the…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  Sanghis defending BJP be like ']
[0],['  ▪️Demonetization\n▪️After NC in Assam\n▪️GS\n▪️KYC\n▪️Aadhar Updation\n▪️PNB Bank Scam\n▪️Jandhan Bank Ac\n▪️PMC Bank\n▪️Pollu…']
[0],['  📂 SS\n  └📁 BJP\n      └📁 AALADVANI\n          └📁 \n              └📂 MODI\n                  └📁 GUJAA …']
[0],['  Sir we are behind any honest person working for Hindus and the country\n\nI find Kerala… ']
[0],['  Do you even know who was ruling in  BJP Who was PM Atal Bihari Vajpayee']
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Child…']
[0],['  Loan book  in rupee crores of YES Bank grew mostly under  BJP rule \n\nFY    \nFY    \nFY    …']
[0],['  Beti Bachao Beti Padhao was merely a slogan to grab votes but when it came to implementation BJP failed miserably BJP ruled…']
[4],['  Sanchitha Gajapathi BJP membership and BJYM lo post raddu cheyali ani BJP Central Core committee ni Korina State BJP…']
[0],['  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence As one Western diplomat said to me…']
[0],['  SSBJP are real gaddar Hindumuslim rioters CAANPNC violence takes place… ']
[0],['    You are the most irrelevant person then\n\nWhy should the BJP National VicePresident and Spokesp…']
[0],['  BJP failed to protect women in India\n\nWomanKiBaat ']
[0],['  A CHISIANVAICAN FOLLOWE BJP LEADEBJYM will govern  hindu temples\n   d…']
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Chil…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  In a move to publicly name and shame participants of the anti CAA protests in Lucknow – and jeopardise their lives at th…']
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Child…']
[4],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Ch…']
[0],['What the great genius NirmalaSitharaman does not tell you is that Jet Airways Vodafone Airel ILFS PMC… ']
[0],['  very true sir the bjp is a party called the blaming party\nYesBankCollapse']
[4],[' We LOVE You Yogi Adityanath ji We will again VOE for BJP   ']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  Passage of the Womens eservation Bill was one of the poll promises of the BJP It has already been passed in S It is pend…']
[0],[' Very true\nVery sad beginning  ji\nKarnataka based business guy backstabbed his own fathe… ']
[0],['  BJP shd publish a list of govt contracts won by ADAG pre and post  the nos wud defy these loose freindfoe defi…']
[4],[' Are you You have right now on hand You have been made totally irrelevant in BJP by twins ake care']
[0],['  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence As one Western diplomat said to me…']
[2],['  In addition to the glaring difference between unemployment rates of men amp women India under the BJP govt has performed the…']
[4],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Ch…']
[0],['  Beti Bachao Beti Padhao was merely a slogan to grab votes but when it came to implementation BJP failed miserably BJP rule…']
[0],['  Passage of the Womens eservation Bill was one of the poll promises of the BJP It has already been passed in S It…']
[0],['  Beti Bachao Beti Padhao was merely a slogan to grab votes but when it came to implementation BJP failed miserably BJP ruled…']
[0],[' Kerala is the only state in India which successfully stopped three deadly virusesCoronaNipah and BJP']
[0],['  Beti Bachao Beti Padhao was merely a slogan to grab votes but when it came to implementation BJP failed miserably BJ…']
[4],['  Economy in coma no one in BJP knows how to revive it Sanjay Jha  Bhopal News  imes of India ']
[0],['BJP amp its supporters welcome rape accused Chinmayanand by garlanding him\nhis is their culture \nIncentives given… ']
[4],['  मित्रों मैं देश नहौं बिकने दूँगा ModiLies \nIndia Up for Sale as Modi Offers National Icons to Plug Deficit\n\nAffiliates of h…']
[0],['  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Child…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
