Sentiment,Tweets
[0],['  Whats the point of checking arrivals at ports and airports or quarantining possible Corona Virus sufferers when the Borde…']
[2],['  No worries America Donald trump has put the very best person possible in charge of the Corona Virus response we have…']
[0],['  he travel industry is going to be very badly hit due to Corona virus   Especially leisure travel']
[0],['  Please postpone dogyul’s coming activities include overseas scheduleshe corona virus is getting serious Please always tel…']
[0],['Corona virus where are you first let me take your name with respect Novel Corona Virus\n\nWhere are you   he gov… ']
[0],['  Unfortunately due to rising cases of the Corona Virus COVID we decided to postpone the SWC JAPAN OU FINAL and SWC…']
[0],['like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… ']
[0],[' only since we know you\nyou are really infectuous\nyou are a twin corona virus\nbut glad that this com… ']
[0],['  rump books small venues to create the appearance of packed rallies A great incubation ground for corona virus']
[0],['  Literally one of the side effects of emdesivir the new corona virus drug']
[0],['  Corona virus is a name for a group of viruses that probably have existed for millions of… ']
[0],['   people get corona virus amp the whole world wants to wear surgical mask  million people have AIDS but still nobod…']
[0],['  Light  Building  postponed\nDue to the increased spread of the corona virus in Europe Messe Frankfurt decided to p…']
[0],['  I have  evidence to support this intuition but I’m pretty sure being vegan makes me immune to the corona virus']
[0],['  Whats the point of checking arrivals at ports and airports or quarantining possible Corona Virus sufferers when the Borde…']
[0],[' money isnt everything take care of yourself Ive heard that in Korea the corona virus has been… ']
[0],['we have to imitate the humanity of the Coronavirus  which has nothing to do with children  but some government d… ']
[0],['    Complete nonsense Corona virus only has a  death rate Less than the regular flu']
[0],['  COVID Corona virus is officially in my state 😭\nGuys remember 🇰🇼 in your prayers \nMay Allah protect us all❤\nake a min of…']
[0],[' New report that  ppl on self imposed corona virus quarantine in Cali\n\nBe careful mate']
[4],['  ory Stewart on radio  doing Government’s job for it ie as former Sec of State for International Development he’s explainin…']
[0],['  COVID Corona virus is officially in my state 😭\nGuys remember 🇰🇼 in your prayers \nMay Allah protect us all❤\nake a min of…']
[0],['  Complete nonsense Corona virus only has a  death rate Less than the regular flu']
