Sentiment,Tweets
[0],[' Ive been thinking about this but I want to run it locally So Ill need to upgrade my home server a… ']
[0],['he first match I ever saw was against Newcastle Jan  he atmosphere at he Dell that day was unbelievable St… ']
[0],['  he Joker th Anniversary Super Spectacular  arrives April  with eight decade variants \n\ns variant cover by Davi…']
[0],['   medical imaging solutions allow healthcare providers to integrate their PACS and digital pathology images in…']
[0],['Dell Home amp Office Promo Code Verified Daily  Off Inspiron   Laptop  Free Shipping Valid thru … ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[4],[' All of em']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[4],['  Borderline Collected Short Stories from Dell Sweet \nAll of Dell Sweets books on Kobo Earths Survi…']
[0],['  he Joker th Anniversary Super Spectacular  arrives April  with eight decade variants \n\ns variant cover by Davi…']
[0],['  Get yourself one of these Impeccably functional Lappy\nDell LAIUDE \nMANUFACUED \nIntel core i\nGB SSD\nGB A…']
[0],['  Get yourself one of these Impeccably functional Lappy\nDell LAIUDE \nMANUFACUED \nIntel core i\nGB SSD\nGB A…']
[0],['  Get yourself one of these Impeccably functional Lappy\nDell LAIUDE \nMANUFACUED \nIntel core i\nGB SSD\nGB A…']
[0],['  Get yourself one of these Impeccably functional Lappy\nDell LAIUDE \nMANUFACUED \nIntel core i\nGB SSD\nGB A…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['Get yourself one of these Impeccably functional Lappy\nDell LAIUDE \nMANUFACUED \nIntel core i\nGB SSD… ']
[0],['Dell Small Business Coupon  Working  Off Inspiron   Laptop  Free Shipping Expires  ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['   I tried a  once service and compatibility were gre… ']
[0],['VLO DELL iger Still Not eady Will Miss he Players Championship via ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['Dell Latitude  for sale\n\nItem Dell Latitude  Intel Core i  GB Notebook\nAge  years\nPrice … ']
[0],[' Dell']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],[' Dell XPS ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['   Dell or surface pro']
[0],[' PGA our says Dell Match Play still on for later this month AX']
[4],[' sir i manish kumar from bihar india on th apr  night my laptop was stolen can u help me to f… ']
[0],[' Its okey to be not okey💞']
[0],['CVE Dell EMC Isilon OneFS versions prior to  contain an unauthorized access vulnerability due to a l… ']
[0],['CVE Dell Security Management Server versions prior to  contain a Java MI Deserialization of Untru… ']
[0],['Oh yeah its Dell\nApparently they hate that\nhanks  \nWELL']
[0],['Dell MS DPI USB Wired Optical Mouse\n ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['Dell  How will you open the door At Dellech were focusing on gender equality as a business imperative that requ… ']
[0],['Dell  he Dell UltraSharp UPQ is an impressive featurepacked panel with a builtin colorimeter a K resolut… ']
[0],['SiLC echnologies raises M seed round led by Dell echnologies Capital for its long range lidar sensor Kyle Wig… ']
[4],['  Dell ech World  is now a virtual event Early May is essentially done I know this was not an easy one but it is…']
[0],['SiLC echnologies raises M seed round led by Dell echnologies Capital for its long range lidar sensor Kyle Wig… ']
[0],['Laptops of all brands are now at one platform \n\nContact us \nWebsite\n ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['Dell MS DPI USB Wired Optical Mouse ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['Dell MS DPI USB Wired Optical Mouse \n ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  Please see our statement regarding Dell echnologies World  ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[4],['Multifunction Printers Market Latest Sales Figure Signals More Opportunities Ahead  Canon Dell HewlettPackard C… ']
[0],['  OnhisDay 🗓\nOn our first visit to Heysel following the  tragedy our Captain  paid tribute to the victims ❤\n\nIn u…']
[0],['  Please see our statement regarding Dell echnologies World  ']
[0],['Dell laptop computer deal the XPS  laptop computer will get an enormous  worth reduce… ']
[0],['Dell Vostro  Desktop ower Core i th Gen  GB DD  B WinMs Office  WiFi Bluetooth… ']
[0],['Dell Inspiron  SFF Desktop Core i th Gen  GB DD  B Windows  Home Without Monitor ']
