Sentiment,Tweets
[0],['  Did you know before Melania rump got married to US Prez Donald rump she was a supermodel who wasn’t originally from the…']
[0],['  Eric rump slams Sanders He has three accomplishments two of which are naming post offices\n\n']
[0],['  As rump visits India on the table plan to counter China’s reach with Blue Dot network\nFrom         \u2066']
[0],['   dead in the Indian capital on the day that Donald rump arrives there hink about that for a moment his has becom…']
[0],['  odays Practical Joke 😂\n\nUS President Donaldrump PAISES Pakistan while standing on Indian soil amp Modi even forgot…']
[0],['  It is uesday February    One citizen I call for the removal from office by any legal means the impeached fasci…']
[2],['  US President Donald rump with First Lady Melania rump paid homage to Mahatma Gandhi at his memorial  ajghat ']
[2],['  Boko Haram Pastor begs Donald rump to save Nigerians ']
[2],['  “Bernie Sanders says he’s the Democrat bestequipped to defeat Donald rump in November But Florida Democrats insist he‘s t…']
[4],['America loves India will always be faithful and loyal friend \n']
[2],['Donald rump greeted by huge crowds during official visit to India  via ']
[2],['  Uttar Pradesh US President Donald rumps daughter Ivanka rump and her husband Jared Kushner at the aj Mahal in Agra ']
[4],['  Delhi rocked by deadly protests during Donald rumps India visit  India  he Guardian ']
[2],['  Maxine Waters just said that members of the “crips amp bloods” have more integrity than Donald rump\n\nDemocrats defend any…']
[4],[' Little man\nNo one believes a word you sayYour poncho circus act has the world laughing You and yo… ']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[4],['  Namasterump  A short while ago I visited a class and observed the happiness curriculum Its amazing that students here b…']
[2],['  Maxine Waters just said that members of the “crips amp bloods” have more integrity than Donald rump\n\nDemocrats defend any…']
[4],['  Donald rump pays a visit to India and proves that he can’t pronounce words in ANY language ']
[2],['  Agra US President Donald rump and First Lady Melania rump at the aj Mahal ']
[2],['  As India welcomed US President Donald rump activists in Kolkata burned his effigy in a protest against his visit ']
[2],['  After raucous welcome in India US President Donald rump says making progress on trade energy and arms deals ']
[2],['  BIG NEWS CP polling average now shows  is the strongest candidate in headtohead matchups against Donald…']
[0],['  My dear friend   a kind compassionate soul was denied entry into his homeland of Palestine by the Israeli g…']
[0],['  US President Donald rump and Indian PM Narendra Modi due to hold talks in Delhi ']
[2],['  According to ush Limbaugh the coronavirus is nothing more than the common cold and it’s a plot to bring down Donald …']
[4],['  I want to join school where\n\nMaths teacher  Swara Bhaskar\nEnglish teacher  Umar Akmal\nHindi eacher  Donald trump…']
[2],['Pakistan on US Prez Donald rumps remarks in India\nrump wants peace and stability in the region and has asked I… ']
[0],['  Namasterump  In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens from rad…']
[0],['  odays Practical Joke 😂\n\nUS President Donaldrump PAISES Pakistan while standing on Indian soil amp Modi even forgot…']
[2],['  Sanders supporters admit rump will win election😢\n\nDemocrats fear they have no viable candidate😢\n\nhere is No ecession…']
[0],['  he only person quoted in this oped is a fossil fuel CEO\n\nAbsolutely shameful  should pull the article a…']
[4],['  Not reated Very Well by India Donald rump ahead of India visit👎 ']
[0],['  odays Practical Joke 😂\n\nUS President Donaldrump PAISES Pakistan while standing on Indian soil amp Modi even forgot…']
[4],['  I won’t apologize to these boys I will thank them for lighting a fire underneath the conversation about systemic racis…']
[2],['  President Donald rumps Surgical Strike on Modi inside India\n\nrumpInIndia ']
[0],['  I gave birth in chains while serving time in an American prison  made it illegal to chain women durin…']
[0],['   dead in Delhi clashes rumourmongering should stop says Home Ministry \n\nead more here \n\nCitizenshi…']
[2],['  Mr Donald rump is talking about Islamic errorism today but India is Victim of Islamic terrorism from s  of Years B…']
[2],['  Mr Donald rump is talking about Islamic errorism today but India is Victim of Islamic terrorism from s  of Years B…']
[2],['  President am Nath Kovind and Prime Minister  welcomed  Donald J rump and  Melania rump for a…']
[2],['  he US President Donald rump moves from sightseeing and speechmaking to tough trade talks in India as First Lady Melan…']
[0],['  We will always remember the magnificent welcome the citizens of your home state of PM Modi showed us upon arrival US Presid…']
[2],[' HANK YOU PESIDEN DONALD J UMP FO MAKING AMEICA GEAE SONGE HAN EVE AOUND HE WOLD… ']
[0],['  Weve had three years of Donald rump and people are afraid Our democracy hangs in the balance in this election So heres t…']
[0],['  Hundreds Of housands Of Cheering Indian Citizens Greeted rump And Melania During Visit o Country ']
[2],['   Me amp  talk Dems sulking at SOU while Donald rump steadily wins over more Black voters\n\nIm glad…']
[0],['  How’d you like to be the journalist who wrote this stuff It was exactly wrong  ']
[2],['  his election is about more than just beating Donald rump It’s about\n\n eplacing Betsy DeVos with an actual educator\n Ha…']
[0],['  Something about Donald rumps pronunciation of Sachin endulkar tells me he isnt a huge cricket fan ']
[0],['  I supported and voted for Donald rump in   I was angry at Never rumpers for opposing him and not giving him a chance…']
[4],['  Barack Obama\n\n favorable coverage\n\nA Nobel Prize\n\nGushing praise from Hollywood\n\n approval rating at this point i…']
[0],['  Shamshad Khan underscores the role of PM  honest leadership in creating a positive perception of Pakistan…']
[2],['     Donald J rump is the greatest President the US has ever had and he does work so har…']
[0],['  Melaniarump in Delhi   Candid moments and pics of rumpModiMeet you shouldnt miss\n\nSEE PICS ']
[0],['  Everything is a plot against Donald rump']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[0],['Namasterump  Pakistan has been involved with terrorism several Pakbased entities have been placed on internat… ']
[2],['  President am Nath Kovind and Prime Minister  welcomed  Donald J rump and  Melania rump for a…']
[2],['Donald rump in India Seven killed in Delhi violence during visit  BBC News  via ']
[0],['  Who is responsible for getting America into bed with China\n\nDonald rump or Senators who have been in office  years']
[2],['  Shame on SK for buying US President Donald rump his is the nd time he bought US President first was Barack Obama How…']
[0],['  Everything is a plot against Donald rump']
[2],['  US President Donald rump Melania and I have been awed by the majesty of India and the exceptional generosity and kindness of the…']
[2],['  his election is about more than just beating Donald rump It’s about\n\n eplacing Betsy DeVos with an actual educator\n Ha…']
[2],['  NaMosterump  Here are the key takeaways from the joint statement of Donald rump and PM Modi\n']
[0],['   dead in the Indian capital on the day that Donald rump arrives there hink about that for a moment his has becom…']
[0],['  A lot about Donald rump sickens me but maybe at the top of the list is his very intentional efforts to divide us up by…']
[0],['  NaMosterump  IndiaUS relations have never been as good as right now  \nLive Updates ']
[2],['  achel Maddow reports on ‘jury tampering on a mass national scale’ — personally committed by Donald rump himself \n ']
[0],['  Who is responsible for getting America into bed with China\n\nDonald rump or Senators who have been in office  years']
[4],['  SurpriseWasFantastic\n\nOur elationship with Pakistan is Very Good One Said by Donald rump In India in front of Indian P…']
[0],['  It is possible to hold several ideas in one’s head at the same time\n I think Bernie Sanders is a terrible nominee w…']
[4],['  🇺🇸PESIDEN DONALD JUMP amp FIS LADY MELANIA IN INDIA🇺🇸 HAS AWESOME🇺🇸🙌🇺🇸🇮🇳INCEDIBLE HOW INDIA PEOPLE WELCOMED amp…']
[4],['  Ill vote for any Democrat the party nominates Donald rump is a horror show but I ask those of like mind to remember a…']
[0],[' CNN rump was more than happy to bask in the type of adulation that doesnt typically follow him when he travel… ']
[4],['  False Idol — Why the Christian ight Worships the hricemarried Swindling Profane Materialistic acist Selfstyled Pl…']
[0],['  Delhi is burning seven lives lost and the Prime Minister has not put a single tweet condoning the violence He continues to…']
[2],['  President am Nath Kovind and Prime Minister  welcomed  Donald J rump and  Melania rump for a…']
[2],['Delhi rocked by deadly protests during Donald rumps India visit  he Guardian  via ']
[0],['  We keep talking about being united So here it goes \n\nFuck Donald rump\nFuck Harvey Weinstein \nFuck Jeffrey Epstein…']
[0],['  he communallysensitive Khambhat town in Gujarat’s Anand district saw riots in which  houses and shops were set fire to…']
[2],['  Mr Nitin Singh a egional Level Guide of Ministry of ourism got the honour of guiding Mr Donald J rump Preside…']
[2],['  In US all the main candidates for President seem to be over  years of age Did Modi raise this issue with Donald rump']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[0],['  Donald rump sure knows how to mobilize people Even in India they walk away from his rally']
[2],['  Mr Nitin Singh a egional Level Guide of Ministry of ourism got the honour of guiding Mr Donald J rump Preside…']
[0],['  WACH Delhi US President Donald rump amp First Lady Melania rump pay tribute to Mahatma Gandhi at aj Ghat ']
[2],['  WACH live from Delhi US President Donald rump and Prime Minister Narendra Modi issue a joint press statement ']
[0],['  oday   spoke to K people in India at the world’s largest cricket stadium He said “In Amer…']
[0],['     hat was right around when you were saying a lot of your familys money came from…']
[4],['  Barack Obama\n\n favorable coverage\n\nA Nobel Prize\n\nGushing praise from Hollywood\n\n approval rating at this point i…']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[0],['  his guy is amazing He takes on the issues and people that most the political class are too afraid of confronting I lov…']
[2],['  Maxine Waters just said that members of the “crips amp bloods” have more integrity than Donald rump\n\nDemocrats defend any…']
[2],['  his election is about more than just beating Donald rump It’s about\n\n eplacing Betsy DeVos with an actual educator\n Ha…']
[2],['  President Donald rumps Surgical Strike on Modi inside India\nrumpInIndia ']
[2],['  As India welcomed US President Donald rump activists in Kolkata burned his effigy in a protest against his visit ']
[0],['  Great honor I think  Mark Zuckerberg recently stated that “Donald J rump is Number  on Facebook Number  is Prim…']
[0],['  Someone on my train called the conductor “Donald rump”  he conductor called the cops and had him booted off the train It…']
[0],['  By far our biggest  potential  trading partners dont want it our farming industry doesnt want it anyone actually clue…']
[2],['  Mr Donald rump is talking about Islamic errorism today but India is Victim of Islamic terrorism from s  of Years B…']
[2],['     When Does America eckon with the Gravity of Donald rumps Alleged apes Arrest…']
[0],['  I supported and voted for Donald rump in   I was angry at Never rumpers for opposing him and not giving him a chance…']
[0],['Donald rump amp CIA MUS ealise Minorities of Followers of Moses Jesus amp Mohammad Have Always Used Human Interpret… ']
[4],['  Barack Obama\n\n favorable coverage\n\nA Nobel Prize\n\nGushing praise from Hollywood\n\n approval rating at this point i…']
[0],['his article is hilariousthink we believe you jr ']
[2],['NaMosterump  Here are the key takeaways from the joint statement of Donald rump and PM Modi\n']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[0],['  Stunningly reckless \n\nush Limbaugh “It looks like the coronavirus is being weaponized as yet another element to bring…']
[2],['  Mr Donald rump is talking about Islamic errorism today but India is Victim of Islamic terrorism from s  of Years B…']
[0],['  Shamshad Khan underscores the role of PM  honest leadership in creating a positive perception of Pakistan…']
[4],['India goes wild for Melania 🇮🇳 🇺🇸 \n']
[0],['Analysis Virus concern grips DC as rump dispenses optimism  ']
[0],['  Donald rump took Sachin’s name and Virat’s name but didn’t take our Shuklaji’s name rump is also jealous of Shuklaji’s pop…']
[2],['  he Dow Jones plummeted a thousand points today and just after it closed Donald rump tweeted that the stock market is…']
[0],['  Live  For IndoPacific and global commons we have agreed on rule based international order We have also agreed on a otal…']
[0],[' dead in Delhi clashes rumourmongering should stop says Home Ministry \n\nead more here… ']
[2],['  rump hits out at Islamic terror Loudest cheer in the stadium as US President Donald rump asks Pakistan to act against…']
[2],['  When rump ousted Alexander Vindman for standing in the way of his Ukraine shakedown Donald rump Jr was explicit\n\nOt…']
[0],['  Delhi US President Donald rump amp First Lady Melania rump plant a tree at aj Ghat ']
[2],['US President  and PM  issue joint press statements  key takeaways \n\n']
[4],['  his is the EAL Mini Mike He admitted many times that he is “a fan of Donald rump He’s a New York ICON” hank y…']
[0],['  How’d you like to be the journalist who wrote this stuff It was exactly wrong  ']
[0],['  Weve had three years of Donald rump and people are afraid Our democracy hangs in the balance in this election So heres t…']
[0],['Ninth Circuit Court ules rump Admin Stripping Funding From Abortion Clinics Is Constitutional… ']
[0],['rump’s Public Charge ule For Immigrants Officially Goes Into Effect Following Supreme Court Victories… ']
[0],['  Clarence homas’s wife is running around making revenge lists to help purge the government of people who aren’t loyal to…']
[0],['  A lot about Donald rump sickens me but maybe at the top of the list is his very intentional efforts to divide us up by…']
[2],['  Maxine Waters just said that members of the “crips amp bloods” have more integrity than Donald rump\n\nDemocrats defend any…']
[2],['  President am Nath Kovind and Prime Minister  welcomed  Donald J rump and  Melania rump for a…']
[4],[' Amen We join our faith together as onewith all those in agreement with this and we call it done We g… ']
[0],['  Weve had three years of Donald rump and people are afraid Our democracy hangs in the balance in this election So heres t…']
[0],[' hat has all been funneled into Donald rumps bank account']
[2],['   I have said for years that Donald rump and Bernie Sanders are two sides of the same coin hey are both…']
[2],['  US President Donald rump In our discussions PM Modi and I affirmed our two countries commitment to protecting our citizens fro…']
[0],['Donaldrump held delegationlevel talks with Prime Minister NarendraModi in Delhi\n\n ']
[0],['  A lot about Donald rump sickens me but maybe at the top of the list is his very intentional efforts to divide us up by…']
[4],['  Hey folks in India Ill be on  with  live at pm Indian time discussing Donald rumps big trip…']
[2],['  Donald rump and Mike Bloomberg now regularly mock each other But the two something billionaires have plenty in common S…']
[2],['  According to ush Limbaugh the coronavirus is nothing more than the common cold and it’s a plot to bring down Donald …']
[0],['  Donald amp Melania rump Awkwardly Stand SideBySide Without ouching At aj Mahal Pic via  ']
[2],['  President am Nath Kovind and Prime Minister  welcomed  Donald J rump and  Melania rump for a…']
[2],['  French winegrowers say  jobs at risk over rump tariffs  via ']
[2],['  Democratic presidential frontrunner Senator  on Monday slammed President Donald rump for selling weapons to…']
[0],['  People are always curious to knowing about  WhoIsWorldLeader in present\n\nSome people says modi and someone talking abo…']
[0],['  Sanders has thrown Florida Dems into an uproar after disturbing Minutes interview\n\nFlorida Democrats insist he‘s th…']
[2],['  🔥 ELECED OFFICIALS ANNOUNCE PAY SWICH JOIN MISSISSIPPI GOP\n\n“We are in a scenario in this country where you can…']
[2],[' Every government in the th republic takes the corruption of the previous government and adds its own b… ']
[2],['  achel Maddow reports on ‘jury tampering on a mass national scale’ — personally committed by Donald rump himself \n ']
[2],['  WACH live from Delhi US President Donald rump and Prime Minister Narendra Modi issue a joint press statement ']
