Sentiment,Tweets
[1],['  ight now Clouds emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather']
[1],['ight now Clouds emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From NNE at KPH Updated AM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From NNE at KPH Updated AM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From ESE at KPH Updated AM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From ESE at KPH Updated AM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From ENE at KPH Updated AM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From ENE at KPH Updated AM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['    they picked based on pitch and weather as weather also e… ']
[1],['  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['  Cattle egret in classic pose but rather unhappy about the weather it seems\nUnfortunately no longer a common sight in M…']
[1],['  Automated\n\nMumbai weather as of \n\n°C feels like °C haze mm rain last h poor air quality\nHumidity …']
[1],['Automated\n\nMumbai weather as of \n\n°C feels like °C haze mm rain last h poor air quality\nHumidi… ']
[1],['  ight now Haze emperature C Humidity  Wind From SE at KPH Updated PM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From SE at KPH Updated PM Mumbai Weather']
[1],['  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['  Hows the weather in Mumbai Mr Sharma']
[1],[' Hahaha really what a joke so many khasis are working in Bangalore Mumbai Pune Kolkata Delhi Noida Gu… ']
[1],['  ight now Clouds emperature C Humidity  Wind From ESE at KPH Updated PM Mumbai Weather']
[1],['ight now Clouds emperature C Humidity  Wind From ESE at KPH Updated PM Mumbai Weather']
[1],['  Automated\n\nMumbai weather as of \n\n°C feels like °C haze mm rain last h fair air quality\nHumidity …']
[1],['Automated\n\nMumbai weather as of \n\n°C feels like °C haze mm rain last h fair air quality\nHumidi… ']
[1],['  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['  ight now Clouds emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],['ight now Clouds emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather']
[1],[' Specific weather App for Mumbai please provide link']
[1],['  ight now Clouds emperature C Humidity  Wind From W at KPH Updated PM Mumbai Weather']
