Sentiment,Tweets
[1],['Best empered Glass Screen Protector For he Oneplus  Pro he Whiteston  via  ']
[1],['  he search for our true echmates is still on \n\nWhat is OnePlus  Pro’s camera’s field of view \n“A lot” won’t be consi…']
[1],['      I am using a one plus pro and fade up with the hang issue his is the ridiculous t…']
[1],['echeview  his phone is a lot more than just enabling the SPen experience at a much lower price point… ']
[0],['OnePlus  Pro may feature IP Water and Dust esistance  Gizmochina ']
[1],['  Spent  yrs of my savings amp finally bought OnePlus  Pro\n\neply me Congratulations likh dein 🙈 ']
[1],['Oneplus   Pro amp Lite Prices\nNot Official\nSourceGiztop\nOneplus OneplusPro OneplusLite ']
[1],[' Do you have any plans for smart watch in India']
[0],['So proud of our little team  for making big news\n']
[1],['Samsung Galaxy Note Lite eview he Battle With he OnePlus  is oo Close to\xa0Call  ']
[1],['  Spent  yrs of my savings amp finally bought iPhone  pro max and OnePlus  pro together \n\neply me Congratulations lik…']
[1],['  Spent  yrs of my savings amp finally bought OnePlus  Pro\n\neply me Congratulations likh dein 🙈 ']
[1],[' We completely understand the issue you are having with the device We request you to send us a dire… ']
[0],[' hank you for reaching out to us Kindly refer to the link to initiate a direct message so that we can dis… ']
[1],['OnePlus   Pro and  Pro receive Jio VoWiFi support with latest update ']
[1],[' hank you for reaching out to us We do acknowledge the concern you are having We request you to send us a d… ']
[1],['OnePlus is becoming a ealme and oppoI am facing the issue from the st day when I bought itStill I have not got… ']
[1],['OnePlusPro will likely offer IP water and dust resistance ']
[1],[' Oneplus  Pro']
[1],['   here are better options for Hz experience 😉😉 like ']
[1],['  Spent  yrs of my savings amp finally bought OnePlus  Pro\n\neply me Congratulations likh dein 🙈 ']
[0],[' hank you for reaching out to us Kindly refer to the link to initiate a direct message so that we can dis… ']
[1],[' Oneplus  Pro specs\n\n inch AMOLED screen \nQuadHD  x  pixels\n Hz refresh rate\nQua… ']
[1],['So done with  amp its slow updates I mean just see how      do it r… ']
[1],[' We completely comprehend your disappointment amp did not mean to let you down We have replied to you via… ']
[1],['fall seven times and stand up eightoneplus oneplusindia neversettle commimgsoon ']
[1],['  OnePlus   Pro amp  Pro Jio VoWiFi WiFi calling enabled with January security update  ']
[1],[' hank you for reaching out to us Kindly refer to the link to initiate a direct message so that we ca… ']
[1],['OnePlus  and  get Android  with OxygenOS  update ']
[1],['  Any OnePlus user  Couldnt take screenshots in hotstar Enlighten me Pls  Newphoneparidhabangal \n\n neeya…']
[1],[' OnePlus  ']
[0],[' Is that a OnePlus charger on the top left']
[1],['One plus Builders are Diversified in Quality Design and Construction\n We Build Your Dreams \nFor more Informati… ']
[1],['  Spent  yrs of my savings amp finally bought OnePlus  Pro\n\neply me Congratulations likh dein 🙈 ']
[1],['Information related to the OnePlus  series has leaked online quite a few times now he latest one claims that the… ']
[0],['Some night time experiments with promode oneplus oneplus Wish the stars and milky way were visible too\n\n\n… ']
[1],['oneplusindia  Good experience at OnePlus Experience store at Connaught Place']
[1],[' hank you for sharing your feedback We’ll take this forward for further consideration hank you for s… ']
[1],['  OnePlusFamily ❤️\nComment your OnePlus Device 👇🏻\n\netweets Appreciated ✌🏻\n\nOnePlus OnePlus OnePlus OnePlusPro On…']
[1],['  iQOO  We are launching Indias First G on  Feb 😁\nealme  Sorry we are first on  Feb 🤫\n\nNow imagine other brands jump…']
[1],['  Spent  yrs of my savings amp finally bought iPhone  pro max OnePlus  pro and Jio phone\n\neply me diye link se kuch pai…']
[1],['OnePlusFamily ❤️\nComment your OnePlus Device 👇🏻\n\netweets Appreciated ✌🏻\n\nOnePlus OnePlus OnePlus… ']
[1],['  Crave ravel Pro mAh Power Bank eview\n\nravel powerbank travelgoals accessories ech t…']
[0],['OnePlus  gets a vital Android update but some owners face a huge disappointment\n']
[0],['  Samsung Galaxy S Lite review Samsung finally has an answer to OnePlus ']
[1],['  Spent  yrs of my savings amp finally bought iPhone  pro max and OnePlus  pro together \n\neply me Congratulations lik…']
[0],['  hank you  for sending us this lovely gift \nKkrh eam SouL Airport par t McLaren editions k sath photo upl…']
[0],[' We certainly understand your concern We request you to send us a direct message for immediate help on… ']
[1],[' No security update on OnePlus  since November ']
[0],['he OnePlus  Pro has already been sighted on Geekbench before now and it seems that the company has now seen the… ']
