Sentiment,Tweets
[0],['Oppo Find X Pro Find X With Hz Display Snapdragon  SoC Launched Price Specifications ']
[0],['  Oppo has thicker bazels on sides']
[0],['Oppo launches Find X Pro with  periscope tele and calibrated Hz display  dpreview']
[4],['  📸  PIC OF HE WEEK  Leo Messi La Liga Player of the Month for February\n\n️⃣ Games\n️⃣ Wins\n️⃣ Goals\n️⃣ Assists…']
[0],['OPPO Find X smartphone launches \n\nOPPOFindX Android Camera Smartphones  OPPO… ']
[0],[' Why  isnt using  s ozo technology for their phones    whe… ']
[4],['  Hey Harold Nice to meet you  AMC']
[0],[' Dear oppo i have oppo fs in marshmellow  android version  It is to much old version since year… ']
[4],[' I absolutely love the new mp camera with the x zoom and those crispy night mode images when combined with… ']
[0],['  Oppo also announced its smart watch\n\n   curved screen\n mm\n GB AM\n GB memory\n Bluetooth  NFC and GPS\n ES…']
[0],['    OPPO Super Flagship Store at Emquartier\n\nไม่ได้ดึง มันตึงเองงง\n\nBbillkin\nบิวกิ้น\nบิวกิ้นพีพี ']
[0],['           Al…']
[4],['  Your chance to WIN an OPPOFindXPro in our Launch Event GIVEAWAY Heres how 🤯\n\n💚 Comment below your favorite OPPOFindXSeries…']
[0],['wanna have that Oppo eno huhuh']
[4],['  Your chance to WIN an OPPOFindXPro in our Launch Event GIVEAWAY Heres how 🤯\n\n💚 Comment below your favorite OPPOFindXSeries…']
[0],['  han why would anyone buy the oppo phone if you can state this so obviously']
[0],['    Why is it so expensiv  \nFind   vooc  k Display mp Cam mah  €']
[0],['Oppo Find X Pro handson New camera W charging and Hz screen      CNE ']
[0],['Oppo Watch copies Apple Watchs design to offer an Android alternative      CNE ']
[0],['Android   oppo How to get ready for the OPPOFindX Launch Event 🍿\n\n️⃣ Comment below and tell us which featur… ']
[0],['Oppo Watch With Curved AMOLED Display eSIM Support Launched All You Need to Know ']
[4],['Oppo Find X Pro ops DxOMark Camera anking With  Overall Score Surpasses Mi  Pro ']
[0],['Oppo Find X Pro vs Oppo Find X What’s the Difference ']
[0],['For the past few days OPPO has been teasing the Find X the blockbuster sequel of ’s Find X\nAnd now here it i… ']
[0],['Oppo Find X Pro Find X With Hz Display Snapdragon  SoC Launched Price Specifications ']
[0],['  iPhone users          Oppo users\n\nAny oppo user  ']
[0],[' so crap Can’t this company come up with their own ideas Shame they’re in China otherwise Apple could sue them']
[0],[' Its got to be the mp camera and the fast charging perk Im always taking pictures on the go so its ideal… ']
[0],[' who would buy such overpriced phone with close to none EU support  warranty\nbrand value is lower… ']
[4],['  Your chance to WIN an OPPOFindXPro in our Launch Event GIVEAWAY Heres how 🤯\n\n💚 Comment below your favorite OPPOFindXSeries…']
[4],['  Your chance to WIN an OPPOFindXPro in our Launch Event GIVEAWAY Heres how 🤯\n\n💚 Comment below your favorite OPPOFindXSeries…']
[4],['   he edited shot looks amazing']
[4],['New post Watch this space Chinese mobe flinger OPPO flexes first shot at the wearables market ']
[4],['  Your chance to WIN an OPPOFindXPro in our Launch Event GIVEAWAY Heres how 🤯\n\n💚 Comment below your favorite OPPOFindXSeries…']
[4],['  Your chance to WIN an OPPOFindXPro in our Launch Event GIVEAWAY Heres how 🤯\n\n💚 Comment below your favorite OPPOFindXSeries…']
