Sentiment,Tweets
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C light rain\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C light rain\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C light rain\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['As of  am Pune weather F  C overcast clouds humidity  wind  mph']
[1],['Just from Pune my clicks  Pune moonsun moon Sunsets clouds Weather WeatherForecast… ']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['  We are proud to announce the launch of the International Monsoons Project Office IMPO a new joint office of WCP and t…']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['We are proud to announce the launch of the International Monsoons Project Office IMPO a new joint office of WCP… ']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C light rain\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['what is pune’s weather😩 why is mother nature trying to play with my pussy WIH ALL HIS AIN']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['  MotivationMonday\n\nFisher Friend app\n\n‘he app provides fishermen timely advisories on weather conditions and helps th…']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],[' \nSpiky art\nPune India🇮🇳\nWeather windy💨\nBoosted shiny palkia\nNow  enter at \nExaids']
[1],[' \nSpiky art\nPune India🇮🇳\nWeather windy💨\nBoosted shiny palkia\nNow  enter at \nExaids']
[1],[' \nSpiky art\nPune India🇮🇳\nWeather windy💨\nBoosted shiny palkia\nNow  enter at \nExaids']
[1],[' \nSpiky art\nPune India🇮🇳\nWeather windy💨\nBoosted shiny palkia\nNow  enter at \n… ']
[1],['  Our planet is on the boil🔥its officialLast month was the hottest ever month recorded in the historythis is even when a L…']
[1],['As of  pm Pune weather F  C overcast clouds humidity  wind  mph']
[1],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['  IMD Automatic Weather Station at ambagh Srinagar for realtime weather updates of the region \nVery well maintained by M…']
[1],['  Week over Pune to begin with cloudy weather light rain IMD\n\n']
[1],['⛅ °C feels like °C light rain\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[6],['I came to Pune on Saturday and Mumbai is having nice and sexy weather since Saturday \n\nWhat does it say']
[1],['  Our planet is on the boil🔥its officialLast month was the hottest ever month recorded in the historythis is even when a L…']
[1],['Our planet is on the boil🔥its officialLast month was the hottest ever month recorded in the historythis is eve… ']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['Over  Endangered urtles Brought Back to Native Habitat in Assam After Been escued From Pune… ']
[1],['IMD Automatic Weather Station at ambagh Srinagar for realtime weather updates of the region \nVery well maintaine… ']
[1],['Week over Pune to begin with cloudy weather light rain\xa0IMD ']
[1],['  Week over Pune to begin with cloudy weather light rain IMD\n\n']
[1],['  Week over Pune to begin with cloudy weather light rain IMD\n\n']
[1],['Week over Pune to begin with cloudy weather light rain IMD\n\n']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],[' \nJoshi museum Pune\nBoosted palkia\nWeather windy\nShiny check\neam valor\n mins to hatch\nEnter at hatch\nExaids']
[1],[' \nJoshi museum Pune\nBoosted palkia\nWeather windy\nShiny check\neam valor\n mins to hatch\nEnter at hatch\nExaids']
[1],[' \nJoshi museum Pune\nBoosted palkia\nWeather windy\nShiny check\neam valor\n mins to hatch\nEnter at hatch\nExaids']
[1],['  WEAHE INFO Nowcast warning issued at  pm today \n\nModerate to intense spell of rain is likely to occur at isolated plac…']
[1],['MotivationMonday\n\nFisher Friend app\n\n‘he app provides fishermen timely advisories on weather conditions and helps… ']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['Pune Weather  \nWeather Conditions  Light ain\nDay Forecast  Light rain is expected during the day h… ']
[1],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['  🇮🇳 Pune Weather Live App link uploaded here pl for downloading the App file\nequest pl download Its taking bit longer…']
[1],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[1],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[6],['  Pune has good weather was there last week for two days']
[1],['  🇮🇳 Pune Weather Live App link uploaded here pl for downloading the App file\nequest pl download Its taking bit longer…']
