Sentiment,Tweets
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C scattered clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C broken clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['Evening like this 😍\n\npune puneweather shotoniphone Pro iphonography peaceout ']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
[3],['⛅ °C feels like °C overcast clouds\n\nHumidity  \nWind ☴  metersec\n\nPuneWeather Pune Weather']
