Sentiment,Tweets
[0],['ealme X Pro G with Snapdragon  SoC Dual Front Cameras Launched Price in India Specifications ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['ealme Band Launch Set for March  Smartwatch Also Expected Soon ']
[4],['  Setting the pace of the future with Indias First G Smartphone realmeXPro\nSDM \n Cameras with x Zoom\nW Su…']
[0],['ealme X Pro G vs ealme X Pro Price in India Specifications Compared ']
[4],['  his pic of SalmanKhan during the ad shoot for realme confirms that his appearance from adhe is most probably gonna…']
[0],[' Hey we will begin rolling out the realme UI update based on Android  for realme X from the last wee… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['   Watermark dekho\nealme  \nHmm']
[0],['SalmanKhan is the brand ambassador for ealme 😎🔥\n\nBy the way ealme is my Favt smartphone brand 📱❤️\nBcoz Im a… ']
[0],['ealme X Pro G Goes on Sale From s  And is he First G Phone in India ']
[4],[' ealme  will launch today ight']
[0],['  Wow what a good news rough and tough realme phones with rough and tough bhai   \nDamn excited😍😍😍😍😍\n']
[0],['  Please launch the ealme X G Midranger in Indiai m waitingi will buy a device on May please release it…']
[0],['   Dont Underestimate me Im realmeSalman \n\nrealme ']
[2],['Will there be a signature edition for ealme X Pro  \n\n  realmeXProG ealmeXPro']
[4],['  his pic of SalmanKhan during the ad shoot for realme confirms that his appearance from adhe is most probably gonna…']
[0],[' hose who are saying nhi realme aacha hai ye bekar they are blind follower\nAnd I am that type of consum… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[2],['Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ']
[0],['ealme teases smartwatch and smartband details Io plans   news   ']
[0],['ealmes X Pro is a cheaper G flagship with superfast charging\n\nHeres a relatively affordable G phone with al… ']
[0],[' F Android  update hasnt been rolled out already realme  Pro got it what are you doing Lol']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['   realmeSalman realme shot by realme  \nLucknow ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['   realmeSalman realme very Excitedoo Much Fun ']
[0],['iQoo  vs ealme X Pro\n💪🤝 ough fight\nWhich phone you prefer ']
[0],[' IQOO Disign better than ealme X pro 🔥🔥  GizmoArmy Gizmoimes']
[0],['   hose who are saying nhi realme aacha hai ye bekar they are blind follower… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['   As usual realme always rocks the market and because of that Im surel… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[4],['Check out the latest ealme X Pro G in photos\n ']
[4],[' And i found that it also has stereo speakers So now realme really disturbing smartphone game always good for consumers']
[0],[' realme X pro G is more better']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  is the hint of price\n\nealme Band priced at s ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  ealme tatti brand h']
[0],['HE PHONES GUIDE ealme announces X Pro G globally will be Indi ']
[0],['      I like the fact that it scored  in antutu benchmark which is almo…']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['    I like the fact that it scored  in antutu benchmark which is a… ']
[0],[' ecently I bought ealme s and thats working fine and camera is supperb \neally ealme \nPOUDOBEYOUNG']
[0],['  I like the fact that it scored  in antutu benchmark which is almost  faster realme x pr… ']
[0],['   \nPOCO X edmi K Durability eview  Did it survive \n\nN Giveaway ']
[0],['  Meet Speed of the Future India’s st G smartphone realmeXPro\nSDM \nHz Super AMOLED Display\nW SuperDart Char…']
[0],['FCC leaks photos of the ealme i  MP main camera faster charging ']
[4],['Our ealme X Pro G key features video is up ']
[0],['ealme i Sale on AliExpress ival edmi Note  For Only\xa0  ']
[0],['   FYI I have never came across to any user who is using Beta whether o… ']
[0],[' Gand realme bc']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[0],['ealme X Pro comes with G  cameras fast charging and a superfast screen      CNE ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  Prcing of the iQOO \n\ns  for GB  GB G\ns  for GB  GB G\ns  for GB  GB G\n\nOver…']
[0],['   Shot on ealme \nWill be launch on th March\nWhat is urs thought… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  ealme x pro wins Waiting for mi  😍 and one plus ']
[0],['   ealme X pro is way better even if we keep G aside']
[0],[' Speed estrictions Option in Personal Hotspot is not Available on ealme  Pro realme UI']
[0],[' When we got OS  in realme X']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['FCC leaks photos of the ealme i  MP main camera faster charging ']
[4],['Our ealme X Pro G key features video is up ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],[' Hey we will roll out the realme UI update for realme X in March  hanks🙂']
[4],['  Welcome to  X pro First G smartphone based on  Snapdragon to hit the market in Europe Will…']
[4],['  A massive welcome to the X Pro from  It’s incredibly exciting to see ealmes first  Snapdragon…']
[4],['   Very excited to see advertisements of realme with sallu Bhai Anyone… ']
[0],['   Speed estrictions Option in Personal Hotspot is not Available on realme  Pro realme UI']
[4],[' ealme X Pro Is Good From his']
[0],['ealme X Pro comes with G  cameras fast charging and a superfast screen      CNE  ']
[0],['     youre flop before sold in India Shame on you ealme X pro better']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['his pic of SalmanKhan during the ad shoot for realme confirms that his appearance from adhe is most probably g… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],[' he ealme X pro just kill the IQoo   Better design  better display and also better price\nN… ']
[0],[' ealme this time nails it😍']
[4],['  ealme K pro will launch in March heir is no punch hole this time\nedmiKpro edmiK ']
[0],['   Spotted ealme   ']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[0],['ealme Buds  with Mic for Android Smartphones Black\n          ']
[0],['\n            ealme Buds  with Mic for Android Smartphones Black ']
[4],['    So its ealme and not edmi \n\nBW good choice… ']
[0],['We need a comparison between IQOO and ealme X pro  ']
[0],[' ealme ui miui with poco launcher one ui oxygen os is better']
[4],['  Hurrah     sir join hands with ealme as new Brand Ambassador 🤘🏻 Cant wait to see the ad  realmeSal…']
[2],['  And realme  pro']
[0],['ealme Buds  with Mic for Android Smartphones Black\n          ']
[0],['  Wow what a good news rough and tough realme phones with rough and tough bhai   \nDamn excited😍😍😍😍😍\n']
[2],[' SALLU BHAIEE NAAMBODYGUADDABANGSUlANEALME BAND AMBASSADO']
[0],['   Any device from Oneplus from price range k  k mainly for better update… ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],[' Hey you can use a G SIM in realme X Pro hanks🙂']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  hanks Jimmy 🥰🎷🎷😄 ']
[4],['   I belong to the Clan\nhat is realmeSalmans Ardent Fan\nAll the… ']
[0],[' I think if would get a choice I will surely go with realme X Pro  rocks🤘']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['time to buy a new realme mobile realmeSalman']
[0],['FCC leaks photos of the ealme i  MP main camera faster charging WEBLINK  ']
[4],['Our ealme X Pro G key features video is up WEBLINK  ']
[0],['   For those who saying overpriced compared to realme x pro\niQoo camera is way better th… ']
[2],['    \no confirm realme  is with mp quad cam\n ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],[' EENAM\nSULAN\nJUDWA\nBODYGUAD\nDABANGG\n\nMeans SalmanKhan join with realme family \n ']
[4],['  Setting the pace of the future with Indias First G Smartphone realmeXPro\nSDM \n Cameras with x Zoom\nW Su…']
[0],['        ']
[4],[' Hey kindly refer to the official social media handle of realme Malaysia for more information hanks🙂 ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['  Anytime realme']
[0],['It’ll go on sale “soon”\n\n']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],[' Mein iqoo ko INOO karta hoon Seriously they have done cost cutting drastically Old imx  and k f… ']
[4],[' Salman khan new brand ambassador of realme']
[4],['Hey real fans he all new QuadCameraBatteryKing realmei is packed with many cool features to satisfy your gamin… ']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[0],[' realme xt   feb']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['ealme eveals Its Plans In  \n\nAndroid news smartphones likelike likeforlike… ']
[0],[' unlike redmi realme and poco counterparts this phone seems like a truly premium and delivers both… ']
[0],['ealme X Pro G officially announced in India ']
[4],['     Im big fan of Salman khan  there are no words bcoz the realme is going to…']
[2],['   Swagat nhi karoge hamara  realme  amp ealme band realmesalman']
[0],['  please share detail camera performance in comparison with edmi Note pro and realme… ']
[0],['  but will u use g  if not  then treat is as a g phone  and this makes more practical… ']
[0],[' ealme x better']
[0],[' Hey you can head to our official website following the link given below for more information on yo… ']
[0],[' iqoo is a shitrealme is far better    ']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[0],['ealme eveals Its Plans In  \n\nAndroid news smartphones likelike likeforlike… ']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
[2],['he ealme X Pro G sets the bar for affordable flagships in\xa0  ']
[0],[' Found all the movies \n\nDABANGG\nEE NAAM\nWANED\nJUDWAA\nBODYGUAD\nSULAN\n\n \nrealme\nDareoLeap']
[4],[' When realme  will launch in India']
[4],['he   landes in India for s  for the base level G model scaling up to s  for the top of the… ']
[0],['  Lolealme x pro give G at same price with better specs']
[0],['  ealme']
[4],['  When realme  will launch in India']
[4],['   realmeSalman   is new brand ambassador of ealme and… ']
[0],['   Ab realme  ka calculator dekhna Saare Physics ke calculation ki  ho jaygi']
[0],['  ealme x pro is better']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],['  Coming o  😎 realmeSalman realme ']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],[' ealme X pro is way far better']
[4],['   Proud to be realmephones']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[4],['   ealme  with MP Camerahen that K budget smartphone is gonna ha… ']
[0],['Prcing of the iQOO \n\ns  for GB  GB G\ns  for GB  GB G\ns  for GB  GB G… ']
[0],['  Hi am using ealme X since its fist sale on Flipkart and am the biggest fan of ealme its my first ealme phone and st…']
[4],['  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World\n\nBhai ']
[0],[' I wasnt asking for long as I was asking to tell you about screen recording And idk anything abo… ']
[0],['  Wow what a good news rough and tough realme phones with rough and tough bhai   \nDamn excited😍😍😍😍😍\n']
[0],[' ealme X pro better than this']
[0],['  Exclusive Update Megastar SalmanKhan Is the Brand Ambassador of  😍\n\nealMeMobiles \nealMe\nkirraak…']
