Sentiment,Tweets
[0],['  SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launches…']
[0],['Five big car launches in India within next  days Hyundai Creta new Honda City and more  Financial Express ']
[0],['he nextGen Hyundai New Creta   All you need to know Expected prices launch date and time frame engine… ']
[4],['Da Discover su Google ']
[0],['  New Hyundai Creta was unveiled at the justconcluded Auto Expo  and people cant stop talking about its design exp…']
[0],['  op  upcoming SUVs he new Hyundai Creta   Maruti Suzuki Vitara Brezza ata Gravitas Kia Seonet and MG Hec…']
[0],['op  upcoming SUVs he new Hyundai Creta   Maruti Suzuki Vitara Brezza ata Gravitas Kia Seonet and MG… ']
[0],['New Hyundai Creta was unveiled at the justconcluded Auto Expo  and people cant stop talking about its design… ']
[4],['   Hyundai Creta launch in India will take place on March  he offers up to s  lakh are on the firstgeneratio…']
[4],['  New Hyundai Creta  Creta price in India might be in the range of s  lakh exshowroom and s  lakh exshowr…']
[0],['Feel the exceptional dynamism in performance with every drive in the HyundaiAUA MakesYouShine\n\nContact … ']
[4],['New Hyundai Creta  Creta price in India might be in the range of s  lakh exshowroom and s  lakh ex… ']
[4],[' Hyundai Creta launch in India will take place on March  he offers up to s  lakh are on the firstgene… ']
[0],['  SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launches…']
[0],['Experience seamless connectivity on the go with BlueLink in HyundaiVENUE  the Connected SUV\n\nContact … ']
[0],[' \nGuys how about an electric version of Creta called Greta \nHyundai Greta']
[0],['  SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launches…']
[0],['  SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launches…']
[0],['  SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launches…']
[0],['SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launc… ']
[0],['  Indian Dealers have stopped selling the old Creta saying they are out of stock which… ']
[0],['his is alarming\n\n\n\n    ']
[0],['Joe Biden to Gun Manufacturers ‘I’m Going to ake You Down’  via ']
[2],['rump Starts Implementing Ban on WelfareDependent Immigration to US  via ']
[0],['  Go Won – Creta\n\nCity where the Minotaur was born Deadalus constructed a dark maze with endless corridors where the\xa0Minota…']
[0],['Go Won – Creta\n\nCity where the Minotaur was born Deadalus constructed a dark maze with endless corridors where the… ']
[0],['I had interest in the Hyundai Creta after seeing one on campus a few months agonow I see like  on the road a day how comes']
[0],[' or creta honestly who cares']
[4],['Streetfood in Crete Island Greece \ncrete greece grecia creta streetfood greekfood \n\n']
[0],['he lady at my daycare has one of the babies yelling “Creta” omfg']
[4],['Just posted a photo ']
[0],['I choose this handsome man every single day My Man Issa a HUSBAND I’m so glad to see what God is doing IN and… ']
[4],[' Artist esidences at CEA ome ']
[4],['day of myworldnations welcome to apance great Britain viking empire and Gibraltair return\nSpain… ']
[0],['Hyundai Creta Ground Clearance   FAQs Ground Clearance']
[0],['Hyundai Creta Ground Clearance   FAQs Ground Clearance']
[0],['  I believe in me ']
[0],['he rear of nextgen Creta spied undisguised\nCreta\nFor details visit  ']
[0],['I tried my best to stand there and record I failed I haven’t seen my Dad dance in YEAS I was tore up so I jo… ']
[0],['Just checking 🤷🏽\u200d♀️🤷🏽\u200d♀️ BeVerySure ']
[4],['On March  Jeep Compass Skoda Karoq Hyundai Creta ata Harrier ivalling Volkswagen OC SUV o Launch In India \njeep skoda Hyundai']
[0],[' Key concerns \nWhy the people are not accountable in Hyundai Group for the customer delightWhat is t… ']
[0],[' eview on  by Satnam ']
[2],['  Creta from  stands at the cusp of leading the charge once again\n\n\n\n']
[4],[' sir creta needs lots of improvement']
[0],['  Sir even I think Hyundai creta is one of the worst car amp unsafe car']
[0],['የሚሸጥ መኪና  Hyundai Creta  Excellent condition Full option Ac central Lock Aluminum… ']
[0],['Shortly after its unveiling Volkswagen will launch the OC SUV on March  Here’s everything you need to kno… ']
[2],['  Creta from  stands at the cusp of leading the charge once again\n\n\n\n']
[2],['  Creta from  stands at the cusp of leading the charge once again\n\n\n\n']
[2],['Creta from  stands at the cusp of leading the charge once again\n\n\n\n']
[0],['Hyundai Creta  Five reasons to buy Five more reasons to wait\n']
[0],[' my Automatic creta car problem very bad music quality is not being resolved for more than  months… ']
