Sentiment,Tweets
[4],['Honda Shine now gets  speed gearbox\n\nHonda\nShine\nFivespeed\n\n']
[4],['  BS Honda Shine  Launched\n\n']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[4],['  BS Honda Shine  Launched\n\n']
[4],['BS Honda Shine  Launched\n\n']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[4],['dj honda x big joe   Shine On  ']
[0],['New BScompliant engine is claimed to deliver  percent better fuel economy prices have increased by s  ov… ']
[4],['Vinales finish on top as Yamaha shine in Qatar testing\nMotoGP Vnales Yamaha Suzuki Honda Losail\n\n']
[4],['he CB Shine SP is Hondas premium cc motorcycle\n\nIt is an addition to the existing CB Shine model and uses the… ']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[0],['  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…']
[4],['All New Honda CB Shine  BS eview Hindi  First Look  Hacs  via ']
[4],['BS Honda Shine  launched at s \n\nHonda Wheelers India has launched the BScompliant Shine  at s … ']
[4],['BS Honda Shine  launched at s\xa0  ']
[0],['he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency a… ']
[0],['Honda now has two new BS motorcycles in its stable Both the Shine BS and SP  share the same motor but off… ']
[0],['Honda BS Version Shine CC gives more\xa0Mileage  ']
[0],[' hank you for your interest in Honda  Wheelers Do visit our website for more details… ']
[4],['Honda Motorcycle and Scooter India launched the next generation of Shine motorcycle in India It is powered by a  B… ']
[4],[' sir  I am facing a really bad problem in Honda cb shine which i purchased in march  from AS… ']
[0],['  Begin Febs last Monday with Jan sales in India \nop  Utility Vehicles \nUV market share ']
[0],['Begin Febs last Monday with Jan sales in India \nop  Utility Vehicles \nUV market share… ']
[4],['HAPPY S ANNIVESAY MY BABIES💖\nMay you shine brighter like a diamond💎\n\n  ']
[0],['Honda Shine  BS vs BS Price specs features differences explained ']
[4],['From the onslaught of BScompliant twowheelers to the introduction of the Forza here’s a summary of the to… ']
[0],['As an eventful week draws to a close we bring you all the important updates from the twowheeled world over the la… ']
[4],[' sir when will you launch the Honda CB shine bs  model pls give any information or I will go for o… ']
[4],['  HMSI Launched BSVI Compliant Honda Shine motorcycles\nmechnotechs\n']
[4],['If my smart honda were truly smart it would know that i dont want to shine my brights when Im driving in the middle of town']
[0],['   I am facing a really bad problem in Honda cb shine which i purchased in march … ']
[0],['  I am facing a really bad problem in Honda cb shine which i purchased in march  from AS honda… ']
[4],[' Had purchased a new Honda Shine in November  Saw the new BS Shine which was launched on st… ']
[0],[' eview on HondaCBShineSP by faizansuper ']
[4],['  HMSI Launched BSVI Compliant Honda Shine motorcycles\nmechnotechs\n']
[4],['  HMSI Launched BSVI Compliant Honda Shine motorcycles\nmechnotechs\n']
