Sentiment,Tweets
[2],['  he Future for Industrial Services he Digital win \nKCGCOLLEGE  iteducation universities engineeringcollege…']
[2],['he Future for Industrial Services he Digital win \nKCGCOLLEGE  iteducation universities… ']
[0],['   Verizon layoffs ']
[0],['           Whate…']
[0],[' Shared Cafe details in DM We had CCD outlets in Infosys hinjewadi phase  Pune campus hey were go… ']
[0],['           Whate…']
[0],['  he lifetime of tech relevance is  months says   his is why it’s important to create a talent pipeline f…']
[0],['   Verizon layoffs ']
[0],['       Another of the most infamous HB replacement fiascos SoCal Edi…']
[0],['      Harley Davison outsourced US tech workers in  and again in  to…']
[0],['       Another of the most infamous HB replacement fiascos SoCal Edi…']
[0],['  Verizon laid off  US mediatech workers in December he year prior they laid off  w Indian jobs going t…']
[0],['      s father in law personally profits from this policy off shoring U…']
[0],[' ir  Im already seeing rate cuts ecruitment companies filling up roles for  Big Indian I consu… ']
[0],['         ']
[0],['   months  nominations  shortlists and countless hours of grueling evaluations later we finally have our win…']
[0],['         ']
[0],['            ']
[0],['   months  nominations  shortlists and countless hours of grueling evaluations later we finally have our win…']
[2],['Infosys is Launching its th Cyber Defence Center CDC at Indianapolis IN on March rd  ']
[4],[' I knew this guy would be a puppet As predicted I got an email in yesterday from Indian agency recruiting at Infosys']
[4],['  HYSEA’s Signature initiative DDI has grown to reach  Digital Labs and covers  students thanks to corporates such a…']
[0],['   months  nominations  shortlists and countless hours of grueling evaluations later we finally have our win…']
[0],['So this is  roles fulfilled by British born staff all outsourced a direct result of this ir change All roles n… ']
[0],['   Verizon layoffs ']
[0],['   Verizon layoffs ']
[0],['  Infosys shares have steadily risen to around ₹ apiece \nHas Infosys stock finally moved past whistleblower allegation…']
[0],['       Another of the most infamous HB replacement fiascos SoCal Edi…']
[4],['  HYSEA’s Signature initiative DDI has grown to reach  Digital Labs and covers  students thanks to corporates such a…']
[4],['  HYSEA’s Signature initiative DDI has grown to reach  Digital Labs and covers  students thanks to corporates such a…']
[4],['ushi Sunak soninlaw of Mr Narayan Murthy Founder and Ex chairman Infosys  UKs Chancellor of Exchequer  Fi… ']
[0],['   Verizon layoffs ']
[0],['  Infosys th global Cyber Defense Center set to open in Indianapolis\xa0 \nInfosys cybersecurity \n']
[0],['Infosys th global Cyber Defense Center set to open in Indianapolis\xa0 \nInfosys cybersecurity \n']
[4],['Watch Live Powerful Speech by great Mr\n at Infosys  FutureDecoded  \n\n']
[0],['  Verizon laid off  US mediatech workers in December he year prior they laid off  w Indian jobs going t…']
[4],['  HYSEA’s Signature initiative DDI has grown to reach  Digital Labs and covers  students thanks to corporates such a…']
[0],['           Whate…']
[0],['Very true\nAnd when you can pardon the continuing offences of gstn and  and your other delegates then why… ']
[0],['How CS Infosys and Wipro kept Donald rump happy in election year  via ']
