Sentiment,Tweets
[0],['  If you want to comment on the tweets of Modis news agency ANI take a screenshot of that tweet dont just retweet Dont co…']
[0],['  Not a single bomb blast in the country in last  years his has not happened just like that but due to strong measures take…']
[0],['  No Yes Bank \n\nModi and his ideas have destroyed India’s economy \n\n NoBank']
[0],['  Hi  \n\nModi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings It was a sure s…']
[0],['  Is there such a word in the world in the vocab of UN ump Nentenyahu Erdogan Modi 😂😂😂']
[0],['  he UK media should be paying more attention to the fascist Modi regime in India deploying techniques of terror amp dehum…']
[0],['hese illustrate woman shld be arrested and put behind bars She has never read CA For her it means Muslims Come a… ']
[0],['Sir not the special forces but Modi and his loyal crooks in the system ']
[0],['  Not a single bomb blast in the country in last  years his has not happened just like that but due to strong measures take…']
[0],['  Mass protests in Dhaka against Modis planned visit Pakistan amp Bangladesh geographically  km apart may not be one cou…']
[0],['  Can’t understand FM ‘s logic She insists Yes bank loans are UPA period loans hen how have they increased  since …']
[0],['PM Modi’s appeal makes  lakh farmers join organic farming\n\n\nvia NaMo App ']
[0],['  Kabul Kapisa and Herat the three major Farsi speaking cities of Afghanistan staged biggest anti 🇮🇳 Modi protests yesterday…']
[0],['  eason why British Parliament is worried about \nNarendra Modi\nHindu Nationalism\nIslamophobia\nDelhi Violence\nSS\nCAA etc…']
[4],['  मित्रों मैं देश नहौं बिकने दूँगा ModiLies \nIndia Up for Sale as Modi Offers National Icons to Plug Deficit\n\nAffiliates of h…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  Not a single bomb blast in the country in last  years his has not happened just like that but due to strong measures take…']
[0],['   in its election manifesto promised to ensure passage of womens reservation billhe commitment forgotten t…']
[0],['  I am devastated by the violence that has consumed Delhi his is what the ethnonationalism of Narendra Modi has wrought—…']
[4],['  International Criticism of CAANC and Delhi iots \n\n👉 In British Parliament\n👉 In European Parliament\n👉 United Nations Hu…']
[0],['  Short Story\n\n“Hindutva is dangerous” said a Liberal son\n“What is Hindutva” Father asked\nSon didn’t know\n“Ummmmm…']
[0],['  he Polit Bureau of the CPIM strongly condemns the hour ban imposed on two Malayalam news channels Asianet News…']
[0],['  Malayalam News Channels AsianetNews and Media One telecast banned for  hours by Modi Govt \n\nhis is a blatant fascist d…']
[0],['  How safe are our Indian Women Modi Govt is not even trying to ensure justice to the victims of sexual assaults Unnao r…']
[0],['  Modi Ji explaining the reality of people opposing riple alaq CAA NC\n\nMust watch amp Share ']
[0],['  Pradhan Mantri Jan Aushadhi Kendras by PM  Government continues to impact the lives of Indias Poor\n\nhis…']
[0],['  Not a single bomb blast in the country in last  years his has not happened just like that but due to strong measures take…']
[0],['  HIS is why Indira Gandhi nationalised our banks\n\nPerhaps under Narendra Governmenthasnobusinesstobeinbusines…']
