Sentiment,Tweets
[3],['  Citizens Who aken Both Doses of Vaccination Now Enabled to obtain Epass online for travelling in Local rains\n\nClic…']
[3],['Citizens Who aken Both Doses of Vaccination Now Enabled to obtain Epass online for travelling in Local rains\n\nC… ']
[3],['  Shops malls offices business all r open but MumbaiLocal trains r not open fr all\nHow do  think people will…']
[3],['Shops malls offices business all r open but MumbaiLocal trains r not open fr all\nHow do  think peopl… ']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],[' Life line MumbaiLocal ❤️ ']
[3],['  WACH VIDEO  \n\nMaharashtra government has allowed fullyvaccinated citizens with a day cooling period to use local trains…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],[' launches online application service for Universal ravel Pass for travel on mumbailocal trains on… ']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['  GoodNews Mumbai\n\nNow Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains\n\nUniversal rav…']
[3],['How to get the Universal ravel Pass for Mumbai local  mumbailocal travelpass universaltravelpass localpass… ']
