Sentiment,Tweets
[2],['  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ']
[0],['   I think realme mobile will become expensive now its bad for realme fans']
[2],['  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ']
[2],['  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ']
[2],['  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ']
[2],['Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ']
[0],['time to buy a new realme mobile realmeSalman']
[4],['     Im big fan of Salman khan  there are no words bcoz the realme is going to…']
[4],['   In the film industry here is a only one mega star the Salman Khan an… ']
[4],['   Im big fan of Salman khan  there are no words bcoz the realme is goi… ']
[0],['smartphone pro android samsung apple tech phone xiaomi mobile nokia oneplus s gadget… ']
[0],['  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…']
[0],['  New Video ealme X Pro Gaming eview PUBG Mobile Graphics Heating and Battery Drain est  …']
[0],['  New Video ealme X Pro Gaming eview PUBG Mobile Graphics Heating and Battery Drain est  …']
[0],['  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…']
[4],[' Sir My Mom is in love with your phones\nIn  I bought ealme to her from that time she loves ur… ']
[0],[' We need relames cureved display mobile And also realme mobile phones flash must need more power']
[4],[' Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme pro me']
[0],['  ealme x best for value megatha ey Mobile tho polchukunna']
[0],['   ealme  mobile']
[0],['  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…']
[0],['Xiaomi Overtake Oneplus ealme and Vivo are Exposed to he Impact of Corona\n\nXiaomi Overtake Oneplus ealme and V… ']
[0],[' ealme x best mobile']
[0],['  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…']
[0],['  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…']
[0],[' i have a serious problem in my x mobile two different contacts get merged into one that is crea… ']
[0],['  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…']
