Sentiment,SentimentText
4,"@cc_starr Congrats, mate  You almost got the song right too!"
4,@cc_starr Excellent stuff 
0,@cc_starr I haven't recieved my TSA points for valid entry  u did get mine?
4,"@cc_starr Latest post is a little weak, but I hope the general point comes across "
4,"@cc_starr That's a bit like saying &quot;I wonder why Jimi Hendrix was so damn good with the guitar, and others just don't get it&quot;!! "
0,@cc_starr wish I could play games all day 
4,@CC450D yeah.. that was my 2nd time to see it. and it's still the same parin naman! LOL! 
4,@ccaac let me know how it goes  i am not a late night tv person well at least not for those shows 
0,"@ccaiitllinn  I laugh when i hear they over my head cover &amp;nope  i was away, my friends did, and they keep remindin me, evil people haha"
0,@ccake Sorry for not saying bye to you guys. I was busy on XBOX and didnt even hear you guys leave. Sorry  Hugs
4,@ccallumm I miss you!!!! We must talk Tuesday night 
4,"@ccaramelnoriega okok!  i know what u mean, NOT Danny.. Haha! =D"
4,@CCArquette when does Cougar Town start up?!? I'm so stoked 
0,@ccassiee lucky you... my nose is like a faucet  what time do you start work?
4,"@ccastracane No girls allowed. Kidding, I would love to see you as well "
0,"@ccatiedid i'm sorry, catie  stay strong! miss you!"
0,@ccatiedid me too 
0,@ccbakes thanks but my pants say otherwise 
0,@ccbandit yes  I had her at jakes moms when I went to ny and haven't been off in anytime to go get her so I'm off now and on my way!
4,"@ccbauzon We both lost...she was closer, but technically we both lost...so (for the record) @iemcanadian isn't any better "
0,@ccburns Unfortunately not 
0,@cccaitlins awww!  are you in your room right now? lol
0,@cccapple just means i sold them 
4,@cccarol did you like merlin? 
4,@cccarol only if i can scream and throw things at the screen 
4,"@cccrazykate Hahaha! Ah yes, they are wonderful boots  best investment I ever made."
0,@cccrazykate I gave it back too  I think Zilla still has it. But were we in her section for it?
4,@cccscholarships Thank you so much for the support! 
4,@ccFancy   it is
4,@ccfarrington spit bubbles. catch up.  and no. i was thinking Taken or something.
4,@ccfinlay Gentlemen?  Thems fightin' words! 
4,@ccfinlay LOL. Nice translation. And likely true. 
4,@cchellez :passes along the coffee:  
0,"@cchen1113 We can only hope. But while 2 or our 3 major automotive companies fall, they are only small pieces in this mess we're in. "
0,@cchetanonline so aren't you downloading the latest release ? 
4,@cchill09 You should check out http://www.rithum.com 
4,@cchione  thank you!!!  I can't' wait to do it 
4,@CChiron A little curiosity and imagination can go a long way... ;-) *lol*  You could.....oh forget it. Maybe later.  haha
4,"@atticfox Cute newfie and cat pic! If our cat loved our newf as much as she loves the cat, we could take pics like that too "
4,"@atticmantrader @350trader Hi guys, how ya doin? You've both been ~ A Long Time Gone - Dixie Chics  ? http://blip.fm/~7be0p"
4,@attics or the audition 
4,@atticusblatt heey! hows u? 
0,"@atticusjackson1 You should be cranky, YOU MISSED. I told you to piss on Houston, not New York...  That means 3 hours of watering the yard"
0,@atticusmacbeth7 I gotta work. No days off til Sunday. 
0,@attila @charlesanne Stop talking about me 
0,"@attilacsordas  Im afraid not. I have a sony viao, thats officially  not mine, and a windows desktop "
0,"@attilacsordas Ignore me...it doesn't   Need to read first, and twit later ;-)"
4,@attiqa88 dun be sad lahh. you still have the honey cornflakes. 
4,@attitude that's what good karma gets you! 
0,@Attitude471 I was playing drunk monopoly...I lost 
4,@attitudecandy David's first kiss would become public one way or another.  I think it was a good way to take the heat off of David. 
4,@ATTmusic lol  Thanks for the link (as well as for broadcasting the Coachella show live via webcam)! 
4,@attonbitus Thanks! 
0,@attractivealec so just meet up with me later . pwease for coco ? 
4,@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! 
0,"@atubanos avid sailor. I've sailed ever since I can remember, we used to have a boat - now in Toronto... I'm boat less. "
0,@atubanos I miss sailing like the desert misses the rain! 
0,@atubanos what happened to the Smart Car??? Seeing her get towed was very sad 
4,@AtulAcharya: umm at 'Antiques Roadshow USA' ?  Even i am looking for a device to convert spools of my childhood rambles on to a cd etc.
0,@ATVWATCHME lol...I dunn0 wut it is! But its surely unpleasent... 
4,@atwossybookclub  wait! @sirajdatoo has already made a forum and if you go on his twitter profile you will see it  x
4,@atwossybookclub Thomas harris's book &quot;hannibal&quot; is good 
0,@atx85 I can't do 6:30  that's why we always do it late Friday.
0,@ATXGGRANADOS WITHOUT ME 
4,@atxtraveler Maybe the Ming Vase Company needs an IT guy. 
4,"@atypicalsnowman I do wish... quite frequently. Oh, how I wish...  But you know, it could be true!"
4,@au_twis_dom Any time. 
4,@au_twis_dom indeed...feed into the positive! just know that i am here hoping right along with you 
4,"@au_twis_dom To get past 2000,unfollow those who don't follow you &amp; then follow new. Repeat every other day or so till over hump. "
0,@AUBB  Won't play.
0,@auberz  prom is SCARY.  hahaha.
4,@aubirdy yeah yeah so im told! Lol 
4,@aubredance Wonderful!  I look forward to the new dvd 
0,@aubretzio    i'll miss you boo!!
4,"@Aubrey86 @Vbranc86 I agree, I don't care what people on facebook are doing, I care about you guys and the 10 random celebrities I follow "
0,@aubreyanne LOL. Soooooo true!!!  It don't stop for NO one. 
